Image, mV, nW, bps, GSR, valence, arousal
Animals_090_h,509.1465878070974,0.0,0.0,67.23257506824386,7.44,2.94
Faces_234_h,510.1581289736603,0.0,0.0,64.59854677565849,7.37,5.76
Animals_056_h,508.897652838428,0.0,0.0,62.66057132459971,1.86,7.5
People_038_h,509.3993027621346,0.0,0.0,59.733001779663084,1.73,8.5
Objects_046_h,509.23604915794266,0.0,0.0,56.24533454710969,5.14,5.71
Objects_186_v,509.65947765947766,0.0,0.0,55.04186004186004,4.55,4.83
Objects_001_h,509.3401724920563,0.0,0.0,54.00689968225147,2.72,7.15
Objects_014_h,509.5439425611197,0.0,0.0,53.236390075433974,5.12,5.73
Faces_149_v,509.1047411047411,0.0,0.0,52.68231868231868,2.3,7.61
People_198_h,509.79249568456436,0.0,0.0,52.61924230035432,1.58,7.56
Landscapes_123_h,509.12994093593824,0.0,0.0,52.321853702862335,8.15,2.11
People_201_v,509.4241818181818,0.0,0.0,51.759454545454545,1.87,7.51
Objects_146_h,509.28706481228977,0.0,0.0,51.35351331697118,4.48,4.88
People_028_h,509.4403310896853,0.0,0.0,51.09468801164272,5.48,6.54
Faces_202_v,510.10814491964044,0.0,0.0,50.791973122673205,4.56,4.85
Objects_132_h,508.7560465539189,0.0,0.0,50.42562284051646,2.88,6.76
People_110_h,509.84582499545206,0.0,0.0,50.11215208295434,8.11,2.68
People_211_v,509.2282184064686,0.0,0.0,49.580539656582175,1.88,7.63
Landscapes_120_v,509.3283853929515,0.0,0.0,49.41489846097805,8.31,2.4
Faces_008_h,509.87765667574934,0.0,0.0,49.323887375113536,5.21,6.0
People_127_h,508.8235401127888,0.0,0.0,49.176005093687465,2.15,7.62
Landscapes_061_h,509.3415069241217,0.0,0.0,649.7766638195387,4.98,4.59
Landscapes_049_h,507.4604329634346,0.0,0.0,1020.0,7.24,2.88
People_208_h,508.7641603782162,0.0,0.0,1020.0,1.85,7.67
Landscapes_104_h,507.01445717403163,0.0,0.0,1020.0,7.2,2.8
People_038_h,506.5096293604651,0.0,0.0,1020.0,1.73,8.5
Landscapes_054_h,507.43159905402945,0.0,0.0,1020.0,7.6,2.94
Animals_020_h,507.5485833636033,0.0,0.0,1020.0,5.34,6.43
People_130_h,507.38535698044564,0.0,0.0,1020.0,7.17,5.74
Landscapes_103_v,507.5953851744186,0.0,0.0,1020.0,7.83,2.43
Animals_035_h,507.23155979990906,0.0,0.0,1020.0,5.08,6.13
Faces_159_h,507.24372727272726,0.0,0.0,1020.0,1.93,7.37
Landscapes_097_v,507.2878691503862,0.0,0.0,1020.0,7.6,2.71
Animals_056_h,507.73754998182477,0.0,0.0,1020.0,1.86,7.5
Landscapes_067_h,507.44928590921495,0.0,0.0,1020.0,4.98,4.76
Faces_134_h,507.14849145765174,0.0,0.0,1020.0,7.43,5.68
Animals_090_h,508.2691153741249,0.0,0.0,1020.0,7.44,2.94
Objects_160_h,506.1204326486093,0.0,0.0,1020.0,5.41,5.73
Landscapes_050_h,507.43203927629787,0.0,0.0,1020.0,6.87,2.98
Faces_234_h,507.0190004634259,0.0,0.0,1019.9999756091612,7.37,5.76
Objects_132_h,507.6440863152144,0.0,0.0,1020.0,2.88,6.76
People_028_h,506.99718309859156,0.0,0.0,1020.0,5.48,6.54
Landscapes_120_v,506.95892029446514,0.0,0.0,1020.0,8.31,2.4
Objects_046_h,507.3246977547496,0.0,0.0,1020.0,5.14,5.71
People_211_v,507.05287544289996,0.0,0.0,1020.0,1.88,7.63
Objects_014_h,507.53210842277605,0.0,0.0,1020.0,5.12,5.73
People_201_v,506.9584469903619,0.0,0.0,1020.0,1.87,7.51
People_110_h,507.67093784078514,0.0,0.0,1020.0,8.11,2.68
Landscapes_061_h,506.700900573092,0.0,0.0,1020.0,4.98,4.59
Objects_001_h,508.1192402072162,0.0,0.0,1020.0,2.72,7.15
People_198_h,506.43697173498134,0.0,0.0,1020.0,1.58,7.56
Faces_202_v,507.2147852147852,0.0,0.0,1020.0,4.56,4.85
Objects_146_h,507.3240909090909,0.0,0.0,1020.0,4.48,4.88
Objects_186_v,507.4176743340304,0.0,0.0,1019.9999090826439,4.55,4.83
Faces_149_v,507.702847784551,0.0,0.0,1019.9997270494041,2.3,7.61
People_127_h,507.40203469888274,0.0,0.0,1019.999818330457,2.15,7.62
Landscapes_123_h,507.2352459761753,0.0,0.0,1019.9996362644357,8.15,2.11
Faces_008_h,507.0792845791263,0.0,0.0,1014.9132560940108,5.21,6.0
Objects_160_h,507.1794638800545,0.0,0.0,506.4878691503862,5.41,5.73
People_038_h,507.77675729744476,0.0,0.0,507.94225697917614,1.73,8.5
Landscapes_054_h,505.8138119036801,0.0,0.0,498.945388459791,7.6,2.94
People_208_h,506.89930871384394,0.0,0.0,516.1278879388758,1.85,7.67
Faces_159_h,507.5207122093023,0.0,0.0,494.54242369186045,1.93,7.37
Landscapes_104_h,507.05003183844264,0.0,0.0,495.21395433457656,7.2,2.8
Animals_020_h,506.70114420632035,0.0,0.0,497.35225208863056,5.34,6.43
Landscapes_050_h,507.05275125056846,0.0,0.0,487.7056844020009,6.87,2.98
Landscapes_097_v,507.4244820065431,0.0,0.0,509.790258087968,7.6,2.71
Animals_035_h,507.0005454049632,0.0,0.0,521.1570766293974,5.08,6.13
Faces_234_h,506.4035821438313,0.0,0.0,529.4103100281844,7.37,5.76
Landscapes_067_h,506.9198181818182,0.0,0.0,533.1442727272728,4.98,4.76
Landscapes_103_v,507.2952995726884,0.0,0.0,531.3684880443677,7.83,2.43
Landscapes_049_h,507.01553274593516,0.0,0.0,552.5564538105186,7.24,2.88
People_130_h,507.03337880854934,0.0,0.0,554.2402000909505,7.17,5.74
Animals_056_h,507.4542644117112,0.0,0.0,580.4142571376614,1.86,7.5
Faces_134_h,505.77371864776444,0.0,0.0,590.913395129044,7.43,5.68
Animals_090_h,507.0185411075872,0.0,0.0,633.3102951939497,7.44,2.94
People_110_h,506.8008185538881,0.0,0.0,613.2598453842655,8.11,2.68
Faces_202_v,507.1870739023725,0.0,0.0,605.6399418234706,4.56,4.85
Objects_014_h,506.792310489002,0.0,0.0,585.0059989092892,5.12,5.73
People_127_h,506.9266096762459,0.0,0.0,604.9426154965442,2.15,7.62
People_028_h,506.97673361810416,0.0,0.0,612.6676360992457,5.48,6.54
Landscapes_120_v,507.2105550004542,0.0,0.0,612.561449722954,8.31,2.4
Landscapes_123_h,506.6410512913787,0.0,0.0,621.1323208439433,8.15,2.11
People_201_v,506.94031613372096,0.0,0.0,636.0065406976744,1.87,7.51
Objects_046_h,507.0760483944328,0.0,0.0,638.0022741744747,5.14,5.71
People_198_h,506.892483868036,0.0,0.0,629.7100790693447,1.58,7.56
Objects_132_h,506.94054545454543,0.0,0.0,655.6789090909091,2.88,6.76
Faces_008_h,507.1374704706524,0.0,0.0,669.599218608032,5.21,6.0
Faces_149_v,506.94900927104163,0.0,0.0,669.2397745864388,2.3,7.61
Objects_186_v,507.09636363636366,0.0,0.0,660.352,4.55,4.83
Landscapes_061_h,506.8855558585583,0.0,0.0,666.2583401508954,4.98,4.59
People_211_v,507.31046405823474,0.0,0.0,685.6721565059145,1.88,7.63
Objects_001_h,506.5656088024007,0.0,0.0,723.0673820132763,2.72,7.15
Objects_146_h,506.72139938596825,0.0,0.0,828.6915847325929,4.48,4.88
Landscapes_104_h,509.212068808592,0.0,0.0,842.6283789933558,7.2,2.8
Landscapes_049_h,509.44629225736094,0.0,0.0,798.6827517266448,7.24,2.88
Landscapes_067_h,509.49302834229474,0.0,0.0,789.4093684498314,4.98,4.76
Landscapes_054_h,509.1042309787543,0.0,0.0,789.2785545669149,7.6,2.94
Animals_020_h,509.383154642922,0.0,0.0,780.2047973832455,5.34,6.43
Animals_035_h,509.52936363636366,0.0,0.0,804.346,5.08,6.13
People_130_h,509.2090190017274,0.0,0.0,844.3313937630694,7.17,5.74
Faces_234_h,509.50381540697674,0.0,0.0,786.6885901162791,7.37,5.76
Faces_159_h,509.1152727272727,0.0,0.0,775.4546363636364,1.93,7.37
Landscapes_050_h,509.2924168030551,0.0,0.0,727.2559556282961,6.87,2.98
Faces_134_h,509.58652359734475,0.0,0.0,670.6559061562244,7.43,5.68
Objects_160_h,509.17129881925524,0.0,0.0,646.6215258855586,5.41,5.73
Animals_090_h,509.42345454545455,0.0,0.0,636.4586363636364,7.44,2.94
People_208_h,509.3768063255476,0.0,0.0,633.9404707806962,1.85,7.67
Landscapes_097_v,509.44827586206895,0.0,0.0,714.3555636429807,7.6,2.71
Landscapes_103_v,509.2063953488372,0.0,0.0,661.6810501453489,7.83,2.43
People_038_h,509.59683578832517,0.0,0.0,699.6122022185853,1.73,8.5
Animals_056_h,509.2939463080732,0.0,0.0,719.6928006213894,1.86,7.5
Objects_014_h,509.60733469160954,0.0,0.0,688.456843859974,5.12,5.73
Objects_146_h,509.0990090008182,0.0,0.0,666.8277116101464,4.48,4.88
Objects_001_h,509.5908181818182,0.0,0.0,641.2427272727273,2.72,7.15
Objects_046_h,509.1753636363636,0.0,0.0,607.7054545454546,5.14,5.71
Landscapes_061_h,509.4011633190948,0.0,0.0,558.4686903571753,4.98,4.59
People_211_v,509.4891491873241,0.0,0.0,568.725778625261,1.88,7.63
Landscapes_120_v,509.2783956244303,0.0,0.0,539.9475843208751,8.31,2.4
People_110_h,509.53727413057294,0.0,0.0,518.542994642695,8.11,2.68
Faces_202_v,509.37064653996543,0.0,0.0,506.0782031463126,4.56,4.85
Landscapes_123_h,509.21046416568265,0.0,0.0,474.1907530202562,8.15,2.11
People_028_h,509.47825691411936,0.0,0.0,441.7191593886463,5.48,6.54
People_127_h,509.39287010159654,0.0,0.0,520.4631712626996,2.15,7.62
People_201_v,509.32678311499274,0.0,0.0,530.1522016011645,1.87,7.51
Objects_132_h,509.4310783778869,0.0,0.0,495.3838879796327,2.88,6.76
Faces_008_h,509.59656769272675,0.0,0.0,606.1330246072823,5.21,6.0
People_198_h,509.268,0.0,0.0,618.1090909090909,1.58,7.56
Faces_149_v,509.34864471529926,0.0,0.0,550.5800436601783,2.3,7.61
Objects_186_v,509.3436986573982,0.0,0.0,789.6910500155041,4.55,4.83
Animals_056_h,514.1428051333394,0.0,0.0,841.9133521434422,1.86,7.5
Animals_090_h,514.4816330241862,0.0,0.0,931.3974358974359,7.44,2.94
Landscapes_067_h,513.992,0.0,0.0,874.5797272727273,4.98,4.76
Landscapes_103_v,514.2947110141766,0.0,0.0,819.0140857869866,7.83,2.43
Objects_160_h,514.5991818181818,0.0,0.0,804.8052727272727,5.41,5.73
People_038_h,514.2275122660367,0.0,0.0,900.7760312556787,1.73,8.5
Landscapes_050_h,514.2954979536153,0.0,0.0,916.2393815370623,6.87,2.98
Animals_020_h,514.2251113737613,0.0,0.0,872.3828529866352,5.34,6.43
Faces_234_h,514.4401309209928,0.0,0.0,856.7124284025821,7.37,5.76
People_208_h,514.533751249205,0.0,0.0,878.8605432906332,1.85,7.67
Landscapes_097_v,514.6141324117862,0.0,0.0,895.76273190251,7.6,2.71
Animals_035_h,514.1059422133382,0.0,0.0,868.0385244412139,5.08,6.13
People_130_h,514.4236856467164,0.0,0.0,833.7896125159177,7.17,5.74
Faces_134_h,514.8105406633348,0.0,0.0,818.2254429804634,7.43,5.68
Landscapes_104_h,514.6145312357916,0.0,0.0,891.1964172046922,7.2,2.8
Landscapes_054_h,514.5742205254068,0.0,0.0,896.5874011453504,7.6,2.94
Faces_159_h,514.4660847426804,0.0,0.0,851.6777595926532,1.93,7.37
Landscapes_049_h,514.5555663919637,0.0,0.0,866.1810845077291,7.24,2.88
Objects_046_h,514.4604113578449,0.0,0.0,831.8820531488897,5.14,5.71
Objects_132_h,514.9523593053914,0.0,0.0,806.1322847531594,2.88,6.76
Faces_149_v,514.4182049649904,0.0,0.0,830.3003546421752,2.3,7.61
Objects_146_h,514.8463915651699,0.0,0.0,816.5324486457008,4.48,4.88
Landscapes_123_h,514.5545553737043,0.0,0.0,790.2967812329514,8.15,2.11
Faces_202_v,514.7594476744187,0.0,0.0,742.987917877907,4.56,4.85
